latitude,longitude,locality,region,country
50.87,6.18,Alsdorf,North Rhine-Westphalia,Germany
53.09,8.85,Bremen,Bremen,Germany
48.23,12.68,Altötting,Bavaria,Germany
51.32,12.41,Leipzig,Saxony,Germany
50.37,7.6,Koblenz,Rhineland-Palatinate,Germany
50.02,6.93,Flußbach,Rhineland-Palatinate,Germany
-16.5,-68.15,La Paz,La Paz,Bolivia
53.32,9.67,Heidenau,Lower Saxony,Germany
51.33,12.4,Leipzig,Saxony,Germany
48.76,9.17,Stuttgart,Baden-Württemberg,Germany
47.21,14.68,Hetzendorf,Styria,Austria
52.38,7.27,Emsbüren,Lower Saxony,Germany
51.35,12.38,Leipzig,Saxony,Germany
51,11.01,Erfurt,Thuringia,Germany
51.34,12.32,Leipzig,Saxony,Germany
50.07,8.26,Wiesbaden,Hesse,Germany
53.12,8.76,Bremen,Bremen,Germany
51.43,7.79,Menden (Sauerland),North Rhine-Westphalia,Germany
51.27,7.47,Breckerfeld,North Rhine-Westphalia,Germany
53.33,-6.25,Dublin,County Dublin,Ireland
52.14,7.33,Steinfurt,North Rhine-Westphalia,Germany
52.67,13.32,Hohen Neuendorf,Brandenburg,Germany
50,9.07,Kleinostheim,Bavaria,Germany
51.5,7.1,Gelsenkirchen,North Rhine-Westphalia,Germany
48.13,11.57,Munich,Bavaria,Germany
51.18,14.41,Bautzen,Saxony,Germany
49,9.29,Großbottwar,Baden-Württemberg,Germany
53.57,9.94,Hamburg,Hamburg,Germany
48,11.43,Schäftlarn,Bavaria,Germany
53.07,8.83,Bremen,Bremen,Germany
49.98,9.13,NA,Bavaria,Germany
50.1,8.71,Frankfurt,Hesse,Germany
54.34,10.14,Kiel,Schleswig-Holstein,Germany
47.81,10.89,Schongau,Bavaria,Germany
51.52,7.16,Herne,North Rhine-Westphalia,Germany
48,12.42,Obing,Bavaria,Germany
52.08,10.33,Haverlah,Lower Saxony,Germany
49.42,8.75,Heidelberg,Baden-Württemberg,Germany
48.05,12.12,Lehen,Bavaria,Germany
